Date;Close;
22/08/2024;7.488,68;-0,00872542
21/08/2024;7.554,59;0,002735327
20/08/2024;7.533,98;0,008993616
19/08/2024;7.466,83;0,004674487
16/08/2024;7.432,09;0,003048635
15/08/2024;7.409,50;-0,003568847
14/08/2024;7.436,04;0,010793093
13/08/2024;7.356,64;0,008086629
12/08/2024;7.297,63;0,005598585
09/08/2024;7.257,00;0,008599577
08/08/2024;7.195,12;-0,002358494
07/08/2024;7.212,13;0,011630455
06/08/2024;7.129,21;0,009853461
05/08/2024;7.059,65;-0,033999183
02/08/2024;7.308,12;-0,002438145
01/08/2024;7.325,98;0,009678191
31/07/2024;7.255,76;0,00191918
30/07/2024;7.241,86;-0,006452719
29/07/2024;7.288,90;0,00010016
26/07/2024;7.288,17;0,006614407
25/07/2024;7.240,28;-0,003095509
24/07/2024;7.262,76;-0,006986484
23/07/2024;7.313,86;-0,001108873
22/07/2024;7.321,98;0,003767356
19/07/2024;7.294,50;-0,003630027
18/07/2024;7.321,07;0,013406715
17/07/2024;7.224,22;-1,04088E-05
16/07/2024;7.224,29;-0,007497026
15/07/2024;7.278,86;-0,006648482
12/07/2024;7.327,58;0,003722101
11/07/2024;7.300,41;0,00183411
10/07/2024;7.287,04;0,002371621
09/07/2024;7.269,80;0,002596027
08/07/2024;7.250,98;-0,000330194
05/07/2024;7.253,37;0,004498464
04/07/2024;7.220,89;0,003353494
03/07/2024;7.196,75;0,010050718
02/07/2024;7.125,14;-0,002028662
01/07/2024;7.139,63;0,010766334
28/06/2024;7.063,58;0,013723686
27/06/2024;6.967,95;0,009022924
26/06/2024;6.905,64;0,0033327
25/06/2024;6.882,70;-0,00093784
24/06/2024;6.889,17;0,001335326
21/06/2024;6.879,98;0,008894907
20/06/2024;6.819,32;0,013736133
19/06/2024;6.726,92;-0,001174949
14/06/2024;6.734,83;-0,014159559
13/06/2024;6.831,56;-0,002705539
12/06/2024;6.850,10;-0,000815928
11/06/2024;6.855,69;-0,00951477
10/06/2024;6.921,55;0,003420967
07/06/2024;6.897,95;-0,011031959
06/06/2024;6.974,90;0,003918875
05/06/2024;6.947,67;-0,021360111
04/06/2024;7.099,31;0,008970918
03/06/2024;7.036,19;0,009389981
31/05/2024;6.970,74;-0,00901407
30/05/2024;7.034,14;-0,014857635
29/05/2024;7.140,23;-0,015633143
28/05/2024;7.253,63;0,010758297
27/05/2024;7.176,42;-0,006363817
22/05/2024;7.222,38;0,005057687
21/05/2024;7.186,04;-0,011099111
20/05/2024;7.266,69;-0,006907917
17/05/2024;7.317,24;0,009734366
16/05/2024;7.246,70;0,009312858
15/05/2024;7.179,83;0,0135617
14/05/2024;7.083,76;-0,002183051
13/05/2024;7.099,26;0,001476458
08/05/2024;7.088,79;-0,004887534
07/05/2024;7.123,61;-0,001720643
06/05/2024;7.135,89;0,000163428
03/05/2024;7.134,72;0,002430558
02/05/2024;7.117,42;-0,016141664
30/04/2024;7.234,20;0,010957932
29/04/2024;7.155,78;0,017013602
26/04/2024;7.036,08;-0,016661615
25/04/2024;7.155,29;-0,002681604
24/04/2024;7.174,53;0,008961031
23/04/2024;7.110,81;0,005229588
22/04/2024;7.073,82;-0,001904398
19/04/2024;7.087,32;-0,011092386
18/04/2024;7.166,81;0,005044727
17/04/2024;7.130,84;-0,004740715
16/04/2024;7.164,81;-0,016752667
05/04/2024;7.286,88;0,004477685
04/04/2024;7.254,40;0,012216631
03/04/2024;7.166,84;-0,009691834
02/04/2024;7.236,98;0,004430615
01/04/2024;7.205,06;-0,011490479
28/03/2024;7.288,81;-0,002910881
27/03/2024;7.310,09;-0,007544773
26/03/2024;7.365,66;-0,001639482
25/03/2024;7.377,76;0,003756101
22/03/2024;7.350,15;0,001607831
21/03/2024;7.338,35;0,000985537
20/03/2024;7.331,13;-0,000765757
19/03/2024;7.336,75;0,004696626
18/03/2024;7.302,45;-0,003494104
15/03/2024;7.328,05;-0,014160673
14/03/2024;7.433,31;0,001631528
13/03/2024;7.421,21;0,005323801
08/03/2024;7.381,91;0,001077217
07/03/2024;7.373,96;0,006025141
06/03/2024;7.329,80;0,011361335
05/03/2024;7.247,46;-0,00402502
04/03/2024;7.276,75;-0,004808349
01/03/2024;7.311,91;-0,000574569
29/02/2024;7.316,11;-0,001709102
28/02/2024;7.328,64;0,005946115
27/02/2024;7.285,32;0,000205064
26/02/2024;7.283,82;-0,001545144
23/02/2024;7.295,10;-0,006068559
22/02/2024;7.339,64;-0,001277009
21/02/2024;7.349,02;-0,000486913
20/02/2024;7.352,60;0,007660848
19/02/2024;7.296,70;-0,005295145
16/02/2024;7.335,54;0,004417763
15/02/2024;7.303,28;0,012974051
13/02/2024;7.209,74;-0,012048743
12/02/2024;7.297,67;0,008640743
07/02/2024;7.235,15;-0,001691135
06/02/2024;7.247,41;0,006778105
05/02/2024;7.198,62;-0,005549263
02/02/2024;7.238,79;0,005150086
01/02/2024;7.201,70;-0,000866422
31/01/2024;7.207,94;0,002186405
30/01/2024;7.192,22;0,004895928
29/01/2024;7.157,17;0,002814441
26/01/2024;7.137,09;-0,00570547
25/01/2024;7.178,04;-0,006887447
24/01/2024;7.227,82;-0,003914673
23/01/2024;7.256,23;0,001145263
22/01/2024;7.247,93;0,002840076
19/01/2024;7.227,40;-0,003524757
18/01/2024;7.252,97;0,007267697
17/01/2024;7.200,63;-0,005819906
16/01/2024;7.242,79;0,002600516
15/01/2024;7.224,00;-0,002366645
12/01/2024;7.241,14;0,002932746
11/01/2024;7.219,96;-0,001014627
10/01/2024;7.227,30;0,003762915
09/01/2024;7.200,20;-0,011446586
08/01/2024;7.283,58;-0,009120857
05/01/2024;7.350,62;-0,001242437
04/01/2024;7.359,76;0,011082753
03/01/2024;7.279,09;-0,006075857
02/01/2024;7.323,59;0,006983698
29/12/2023;7.272,80;-0,004256816
28/12/2023;7.303,89;0,008000668
27/12/2023;7.245,92;0,0011602
22/12/2023;7.237,52;0,003869816
21/12/2023;7.209,62;-0,001391733
20/12/2023;7.219,67;0,004427029
19/12/2023;7.187,85;0,009596327
18/12/2023;7.119,52;-0,009937841
15/12/2023;7.190,99;0,00208635
14/12/2023;7.176,02;0,014229038
13/12/2023;7.075,34;-0,007012513
12/12/2023;7.125,31;0,005152078
11/12/2023;7.088,79;-0,009890637
08/12/2023;7.159,60;0,003500549
07/12/2023;7.134,62;0,006663665
06/12/2023;7.087,40;-0,001895541
05/12/2023;7.100,85;0,001022736
04/12/2023;7.093,60;0,004772633
01/12/2023;7.059,91;-0,002942552
30/11/2023;7.080,74;0,006346468
29/11/2023;7.036,09;-0,000708177
28/11/2023;7.041,07;0,003944942
27/11/2023;7.013,41;0,000538531
24/11/2023;7.009,63;0,000754763
23/11/2023;7.004,34;0,014100445
22/11/2023;6.906,95;-0,007876841
21/11/2023;6.961,79;-0,004731762
20/11/2023;6.994,89;0,002467904
17/11/2023;6.977,67;0,002825544
16/11/2023;6.958,01;-2,835E-05
15/11/2023;6.958,21;0,014011823
14/11/2023;6.862,06;0,00347208
13/11/2023;6.838,31;0,004266075
10/11/2023;6.809,26;-0,004236435
09/11/2023;6.838,23;0,005015641
08/11/2023;6.804,11;-0,005798553
07/11/2023;6.843,79;-0,005094743
06/11/2023;6.878,84;0,013254946
03/11/2023;6.788,85;0,005549063
02/11/2023;6.751,39;0,016404909
01/11/2023;6.642,42;-0,016260299
31/10/2023;6.752,21;0,002422671
30/10/2023;6.735,89;-0,003388309
27/10/2023;6.758,79;0,00659376
26/10/2023;6.714,52;-0,017539118
25/10/2023;6.834,39;0,004058608
24/10/2023;6.806,76;0,009611197
23/10/2023;6.741,96;-0,015652135
20/10/2023;6.849,17;0,000400386
19/10/2023;6.846,43;-0,011760986
18/10/2023;6.927,91;-0,001687337
17/10/2023;6.939,62;0,006282107
16/10/2023;6.896,29;-0,004401438
13/10/2023;6.926,78;-0,001207053
12/10/2023;6.935,15;0,000490201
11/10/2023;6.931,75;0,00138178
10/10/2023;6.922,19;0,004459568
09/10/2023;6.891,46;0,000426363
06/10/2023;6.888,52;0,001991599
05/10/2023;6.874,83;-0,001706218
04/10/2023;6.886,58;-0,007824797
03/10/2023;6.940,89;-0,002955096
02/10/2023;6.961,46;0,00310767
29/09/2023;6.939,89;0,000297494
27/09/2023;6.937,83;0,002026101
26/09/2023;6.923,80;-0,010656901
25/09/2023;6.998,38;-0,002631294
22/09/2023;7.016,84;0,003629914
21/09/2023;6.991,47;-0,002883093
20/09/2023;7.011,68;0,00449268
19/09/2023;6.980,32;0,006377922
18/09/2023;6.936,08;-0,006689017
15/09/2023;6.982,79;0,003370726
14/09/2023;6.959,33;0,003439841
13/09/2023;6.935,48;0,000217312
12/09/2023;6.933,97;-0,004225502
11/09/2023;6.963,39;0,005576102
08/09/2023;6.924,78;-0,004317635
07/09/2023;6.954,81;-0,00588126
06/09/2023;6.995,95;0,000607165
05/09/2023;6.991,71;-0,000720619
04/09/2023;6.996,75;0,002736764
01/09/2023;6.977,65;0,003508289
31/08/2023;6.953,26;-0,001922873
30/08/2023;6.966,66;0,001267751
29/08/2023;6.957,83;0,005216604
28/08/2023;6.921,73;0,003811819
25/08/2023;6.895,44;-0,000572401
24/08/2023;6.899,39;-0,003181153
23/08/2023;6.921,41;0,000717125
22/08/2023;6.916,45;0,007342958
21/08/2023;6.866,03;0,000892299
18/08/2023;6.859,91;-0,005887364
16/08/2023;6.900,54;-0,002105969
15/08/2023;6.915,10;0,000713325
14/08/2023;6.910,17;0,004388512
11/08/2023;6.879,98;-0,001928963
10/08/2023;6.893,28;0,002642003
09/08/2023;6.875,11;0,000917018
08/08/2023;6.868,81;-0,002548982
07/08/2023;6.886,37;0,004892046
